Timestamp,EEG.F7,EEG.F8,dummy
1733043503.098195,-4.710847,-70.025352,0
1733043503.106008,-1.63229,-69.443016,0
1733043503.113821,-8.290657,-71.422806,0
1733043503.121634,-2.134675,-53.932922,0
1733043503.129448,11.699768,-43.632835,0
1733043503.137261,16.298838,-55.37228,0
1733043503.145074,6.036385,-69.149216,0
1733043503.152887,-11.388113,-75.22776,0
1733043503.1607,-21.110571,-74.127914,0
1733043503.168513,-17.503307,-70.979942,0
1733043503.176326,-13.387342,-81.155113,0
1733043503.184139,-8.763186,-90.295502,0
1733043503.191952,5.077885,-72.786743,0
1733043503.199765,15.831269,-49.1478,0
1733043503.207578,11.716976,-50.123268,0
1733043503.215391,12.729875,-51.610069,0
1733043503.223204,29.623299,-34.652306,0
1733043503.231017,35.741367,-26.933037,0
1733043503.23883,15.725626,-43.812256,0
1733043503.246643,-4.270099,-58.62537,0
1733043503.254456,-2.216599,-60.615974,0
1733043503.262269,2.908695,-66.703049,0
1733043503.270082,-4.266521,-81.493271,0
1733043503.277896,-16.045332,-99.854851,0
1733043503.285709,-25.763132,-115.124229,0
1733043503.293522,-29.323523,-105.275261,0
1733043503.301335,-10.338815,-72.382294,0
1733043503.309148,22.459215,-39.522217,0
1733043503.316961,43.441372,-26.675003,0
1733043503.324774,28.541008,-56.362175,0
1733043503.332587,13.655543,-77.822731,0
1733043503.3404,16.715734,-70.572601,0
1733043503.348213,4.403634,-74.600494,0
1733043503.356026,-24.290001,-100.141273,0
1733043503.363839,-23.241095,-101.578056,0
1733043503.371652,-3.237854,-84.058022,0
1733043503.379465,-13.993078,-90.633965,0
1733043503.387278,-32.934471,-101.814095,0
1733043503.395091,-14.970766,-90.953819,0
1733043503.402904,3.487282,-87.276711,0
1733043503.410717,-12.397743,-92.824821,0
1733043503.41853,-20.069962,-81.973534,0
1733043503.426344,-2.119122,-76.25618,0
1733043503.434157,-4.678542,-95.647614,0
1733043503.44197,-26.190786,-109.38427,0
1733043503.449782,-29.75075,-103.127197,0
1733043503.457596,-26.134844,-100.462532,0
1733043503.465409,-33.281017,-108.046684,0
1733043503.473222,-36.833889,-105.889404,0
1733043503.481035,-31.673979,-89.389671,0
1733043503.488848,-15.248459,-78.541817,0
1733043503.496661,4.746789,-82.049431,0
1733043503.504474,-1.40565,-91.701225,0
1733043503.512287,-22.408859,-98.269524,0
1733043503.5201,-20.337219,-99.708183,0
1733043503.527913,-13.656882,-103.194626,0
1733043503.535726,-22.352457,-111.288353,0
1733043503.543539,-22.842411,-108.103218,0
1733043503.551352,-13.085723,-90.576653,0
1733043503.559165,-13.072638,-75.629158,0
1733043503.566978,-14.596488,-70.942757,0
1733043503.574792,-10.48343,-69.334892,0
